date,max_temperature_c,min_temperature_c,avg_temperature_c,humidity_percent,wind_speed_kmh,rainfall_mm,pm25_air_pollution,uv_index,heat_index,elderly_population_pct,population_density,poverty_index,heatwave,consecutive_heat_days,mortality_count,mortality_risk_level
2019-01-01,36.1,27.12,30.1,61.37,6.66,0.1,28.76,10.14,42.23,11.11,7394.74,0.31,1,1,23,High
2019-01-02,34.93,26.42,30.21,69.69,8.11,1.9,25.83,7.99,41.9,10.98,6334.19,0.21,0,0,19,High
2019-01-03,36.61,27.5,30.31,70.18,7.17,7.76,17.11,8.37,43.62,13.73,6592.77,0.46,1,1,22,High
2019-01-04,38.46,26.87,30.41,74.73,8.36,1.52,29.13,7.5,45.93,21.89,4803.08,0.11,1,2,25,High
2019-01-05,35.05,29.36,30.52,56.33,9.36,2.94,42.25,9.14,40.68,8.01,1926.15,0.31,1,3,22,High
2019-01-06,35.15,26.3,30.62,75.93,12.51,4.54,21.95,6.65,42.74,10.76,5577.81,0.75,1,4,25,High
2019-01-07,38.88,26.72,30.72,42.96,9.04,4.6,21.99,9.99,43.18,10.64,5845.65,0.32,1,5,21,High
2019-01-08,37.36,28.05,30.82,63.7,5.24,2.2,20.51,7.49,43.73,18.04,7890.39,0.35,1,6,24,High
2019-01-09,34.99,25.94,30.93,65.12,13.42,5.85,21.08,7.16,41.5,12.93,4559.76,0.43,0,0,17,Moderate
2019-01-10,37.11,25.62,31.03,76.33,7.49,1.49,5.0,8.04,44.75,14.4,2535.27,0.49,1,1,21,High
2019-01-11,35.2,29.54,31.13,70.23,9.82,6.59,28.24,6.82,42.23,10.08,5627.54,0.67,1,2,26,High
2019-01-12,35.3,28.37,31.23,55.94,11.34,0.82,18.24,8.66,40.89,13.67,7845.32,0.23,1,3,20,High
2019-01-13,36.82,28.49,31.33,60.15,10.6,0.99,12.12,6.93,42.83,9.44,1829.1,0.71,1,4,20,High
2019-01-14,32.61,28.84,31.43,71.99,13.28,0.16,31.03,8.94,39.8,15.46,2944.98,0.63,0,0,21,High
2019-01-15,33.08,26.29,31.53,69.21,11.44,4.76,16.34,10.43,40.0,9.37,4564.11,0.61,0,0,18,Moderate
2019-01-16,35.51,27.92,31.63,64.21,7.42,1.62,22.29,6.56,41.93,19.07,1776.61,0.16,1,1,28,High
2019-01-17,34.71,28.13,31.73,65.19,16.54,0.78,36.73,7.74,41.22,15.93,666.65,0.12,0,0,22,High
2019-01-18,37.46,30.84,31.83,76.96,10.58,0.79,13.73,8.92,45.15,18.14,3027.37,0.52,1,1,24,High
2019-01-19,35.11,26.97,31.93,64.82,9.56,6.95,12.74,7.13,41.59,13.86,6990.28,0.7,1,2,23,High
2019-01-20,34.2,29.88,32.03,69.12,12.89,5.39,27.15,8.93,41.11,13.34,826.01,0.51,0,0,23,High
2019-01-21,40.05,28.03,32.12,91.7,10.75,2.42,34.2,9.11,49.22,9.37,3716.97,0.25,1,1,28,High
2019-01-22,36.77,27.8,32.22,55.76,11.2,2.87,12.41,10.17,42.34,15.33,6216.51,0.16,1,2,21,High
2019-01-23,37.45,26.27,32.31,51.48,17.48,1.93,28.26,6.79,42.6,15.2,7648.87,0.59,1,3,28,High
2019-01-24,34.56,30.37,32.41,77.84,9.17,1.49,29.65,6.11,42.34,14.55,7891.07,0.61,0,0,22,High
2019-01-25,36.41,33.03,32.5,63.21,9.05,7.41,8.53,7.38,42.74,18.37,3664.77,0.22,1,1,21,High
2019-01-26,37.82,28.32,32.6,66.82,10.35,0.4,31.39,6.06,44.5,19.66,7627.88,0.12,1,2,25,High
2019-01-27,35.39,25.99,32.69,62.19,13.21,1.63,32.01,9.13,41.61,18.51,765.64,0.39,1,3,21,High
2019-01-28,38.53,26.92,32.78,67.4,5.48,1.27,22.51,5.68,45.27,10.01,6094.38,0.51,1,4,26,High
2019-01-29,36.67,28.56,32.87,85.99,4.1,2.07,35.02,12.67,45.27,16.71,5320.6,0.59,1,5,23,High
2019-01-30,37.38,29.7,32.96,78.02,8.24,1.84,34.09,10.59,45.18,9.12,2371.41,0.67,1,6,27,High
2019-01-31,36.85,27.84,33.05,78.62,5.1,2.19,25.82,8.03,44.71,17.72,4304.89,0.53,1,7,27,High
2019-02-01,41.85,30.6,33.14,55.84,8.73,0.45,21.39,9.73,47.43,13.35,1471.65,0.18,1,8,32,High
2019-02-02,38.2,28.51,33.23,58.49,11.51,2.16,17.22,4.73,44.05,9.85,7036.98,0.58,1,9,21,High
2019-02-03,36.2,28.56,33.31,41.61,7.33,0.83,24.7,13.05,40.36,20.07,3184.24,0.79,1,10,24,High
2019-02-04,40.05,27.81,33.4,61.91,5.72,0.61,29.56,6.82,46.24,16.6,5195.33,0.73,1,11,29,High
2019-02-05,36.04,25.35,33.48,79.57,10.21,0.2,22.41,7.76,44.0,12.97,1690.82,0.71,1,12,28,High
2019-02-06,38.99,28.98,33.57,75.17,12.59,4.31,7.42,4.29,46.5,8.43,2046.24,0.31,1,13,26,High
2019-02-07,34.73,30.41,33.65,67.78,4.92,1.67,35.15,8.97,41.51,15.52,7939.67,0.63,0,0,22,High
2019-02-08,36.08,29.77,33.73,69.78,12.46,2.96,26.52,5.79,43.05,20.93,6148.15,0.7,1,1,22,High
2019-02-09,39.21,32.47,33.81,63.11,12.45,3.9,21.96,8.2,45.52,16.35,7714.79,0.57,1,2,25,High
2019-02-10,40.37,30.93,33.89,72.05,12.86,3.41,31.86,6.91,47.57,21.6,2718.88,0.28,1,3,24,High
2019-02-11,39.31,30.58,33.97,77.66,13.66,1.91,37.2,5.84,47.08,9.91,1734.22,0.77,1,4,27,High
2019-02-12,38.82,30.83,34.05,53.84,16.61,1.47,5.0,6.39,44.2,15.96,4273.01,0.42,1,5,22,High
2019-02-13,38.52,29.89,34.12,73.0,8.93,1.41,28.47,8.45,45.82,19.17,4210.01,0.19,1,6,30,High
2019-02-14,36.24,31.43,34.2,79.32,10.33,3.07,13.59,5.44,44.17,15.36,1812.1,0.18,1,7,29,High
2019-02-15,37.83,28.59,34.27,65.85,8.75,2.05,28.99,6.5,44.42,9.27,5999.15,0.55,1,8,26,High
2019-02-16,38.42,30.34,34.34,77.01,10.01,5.67,26.02,9.33,46.12,16.16,3213.33,0.41,1,9,31,High
2019-02-17,41.53,30.43,34.41,98.15,14.6,6.23,30.09,13.2,51.34,16.56,1897.74,0.17,1,10,32,High
2019-02-18,40.17,30.97,34.48,68.96,5.96,0.56,21.01,8.96,47.06,18.2,2989.88,0.62,1,11,27,High
2019-02-19,36.02,30.32,34.55,73.93,7.42,0.44,10.01,6.17,43.42,18.66,4727.44,0.66,1,12,30,High
2019-02-20,40.26,29.38,34.62,62.62,14.13,2.99,21.4,7.27,46.53,18.79,5948.53,0.61,1,13,31,High
2019-02-21,38.91,31.98,34.68,71.81,13.06,1.08,28.25,8.06,46.09,17.29,4114.18,0.24,1,14,31,High
2019-02-22,38.39,31.73,34.75,74.6,8.91,0.06,33.12,7.3,45.85,11.02,4441.96,0.58,1,15,32,High
